id,id_mal,title,year,season,episodes,average_score,mean_score,popularity,favourites,genres,source,studio
104,104,"Ceres, Celestial Legend",2000,SPRING,24,65,66,9017,106,Adventure|Comedy|Drama|Horror|Romance,MANGA,Studio Pierrot
105,105,BOYS BE ...,2000,SPRING,13,59,59,4529,22,Comedy|Romance|Slice of Life,MANGA,Hal Film Maker
127,127,Gate Keepers,2000,SPRING,24,64,65,4544,49,Action|Comedy|Fantasy|Mecha|Sci-Fi,VIDEO_GAME,GONZO
129,129,Saiyuki,2000,SPRING,50,70,70,10726,183,Adventure|Comedy|Drama|Supernatural,MANGA,Studio Pierrot
171,171,Strange Dawn,2000,SUMMER,13,61,63,2496,15,Adventure|Drama|Fantasy,ORIGINAL,Hal Film Maker
180,180,Vandread,2000,FALL,13,67,67,15332,212,Action|Comedy|Mecha|Romance|Sci-Fi,ORIGINAL,GONZO
189,189,Love Hina,2000,SPRING,24,66,66,43848,474,Comedy|Ecchi|Romance|Slice of Life,MANGA,Xebec
233,233,Daa! Daa! Daa!,2000,SPRING,78,72,73,5007,126,Comedy|Sci-Fi,MANGA,J.C.STAFF
243,243,Gravitation TV,2000,FALL,13,62,62,16207,241,Comedy|Music|Romance,MANGA,Studio DEEN
249,249,InuYasha,2000,FALL,167,77,77,168029,7078,Action|Adventure|Comedy|Fantasy|Romance,MANGA,Sunrise
263,263,Hajime no Ippo: The Fighting!,2000,FALL,75,87,87,137424,8811,Comedy|Drama|Sports,MANGA,MADHOUSE
285,285,Argento Soma,2000,FALL,25,65,65,8679,85,Action|Adventure|Drama|Mecha|Sci-Fi,ORIGINAL,Sunrise
318,318,Hand Maid May,2000,SUMMER,10,62,63,6255,63,Comedy|Ecchi|Romance|Sci-Fi,ORIGINAL,TNK
332,332,Magical Circle Guru Guru 2,2000,SPRING,38,67,71,1273,10,Comedy|Fantasy,MANGA,Nippon Animation
351,351,Ojamajo Doremi Sharp,2000,WINTER,49,75,76,7551,206,Comedy|Drama|Fantasy|Mahou Shoujo|Slice of Life,ORIGINAL,Toei Animation
369,369,Boogiepop Phantom,2000,WINTER,12,70,70,42180,838,Drama|Horror|Mystery|Psychological|Supernatural,LIGHT_NOVEL,MADHOUSE
396,396,Banner of the Stars,2000,SPRING,13,73,74,8515,90,Action|Romance|Sci-Fi,OTHER,Sunrise
481,481,Yu-Gi-Oh!,2000,SPRING,224,73,73,83379,2615,Adventure|Fantasy,MANGA,Studio Gallop
508,508,Hamtaro,2000,SUMMER,193,67,67,13941,234,Adventure|Comedy|Slice of Life,MANGA,
553,553,Descendants of Darkness,2000,FALL,13,64,64,8198,117,Drama|Fantasy|Horror,MANGA,J.C.STAFF
561,561,Sakura Wars,2000,SPRING,25,66,67,8223,73,Action|Adventure|Drama|Mecha|Sci-Fi|Supernatural,VIDEO_GAME,MADHOUSE
598,598,Android Kikaider - The Animation,2000,FALL,13,66,67,3023,73,Action|Adventure|Drama|Mecha|Sci-Fi,MANGA,Radix
606,606,Carried by the Wind: Tsukikage Ran,2000,WINTER,13,69,70,5220,67,Adventure|Comedy,ORIGINAL,MADHOUSE
783,783,Miami☆Guns,2000,WINTER,13,62,63,2660,33,Comedy|Ecchi,MANGA,Group TAC
800,800,NieA_7,2000,SPRING,13,66,66,15849,184,Comedy|Sci-Fi|Slice of Life,MANGA,Triangle Staff
832,832,Ginsoukikou Ordian,2000,SPRING,24,58,61,1676,18,Mecha|Sci-Fi,ORIGINAL,Plum
888,888,Pilot Candidate,2000,WINTER,12,57,58,4402,37,Action|Mecha|Sci-Fi,MANGA,Xebec
1137,1137,Shinzo,2000,WINTER,32,65,66,3395,51,Adventure|Drama|Fantasy|Sci-Fi,ORIGINAL,
1281,1281,Ghost Stories,2000,FALL,19,74,74,76457,1765,Horror|Mystery|Supernatural,OTHER,Studio Pierrot
1313,1313,Digimon: Digital Monsters 02,2000,SPRING,50,69,69,38411,609,Action|Adventure|Comedy|Drama|Fantasy|Sci-Fi,ORIGINAL,Toei Animation
1450,1450,Brigadoon,2000,SUMMER,26,68,70,5692,114,Adventure|Comedy|Drama|Mecha|Sci-Fi,ORIGINAL,Sunrise
1508,1508,Sci-fi Harry,2000,FALL,20,56,58,3284,33,Drama|Horror|Sci-Fi,MANGA,APPP
1684,1684,Dotto KONI-chan,2000,FALL,26,68,71,1594,28,Comedy,ORIGINAL,Shaft
1769,1769,The Super Milk-Chan Show,2000,WINTER,12,59,61,1764,47,Action|Comedy|Sci-Fi,ORIGINAL,Studio Pierrot
1975,1975,Invincible King Tri-Zenon,2000,FALL,22,60,65,920,7,Mecha|Sci-Fi,ORIGINAL,E&G Films
2284,2284,Transformers: Robots in Disguise,2000,SPRING,39,59,60,1432,15,Adventure|Comedy|Mecha|Sci-Fi,,Studio Gallop
2484,2484,GEAR Senshi Dendoh,2000,FALL,38,69,73,1790,23,Action|Mecha,ORIGINAL,Sunrise
2566,2566,Taro the Space Alien,2000,SPRING,24,49,54,422,2,Comedy,,
2694,2694,Hidamari no Ki,2000,SPRING,25,73,76,3328,88,Drama,MANGA,MADHOUSE
3369,3369,Shoubushi Densetsu Tetsuya,2000,FALL,20,73,74,4096,70,Sports,MANGA,
3499,3499,DINOZAURS : THE SERIES,2000,SUMMER,26,45,48,447,3,Adventure|Sci-Fi,OTHER,Sunrise
3935,3935,Clockwork Fighters Hiwou's War,2000,FALL,26,65,70,1160,18,Action|Adventure|Mecha,ORIGINAL,bones
4052,4052,Medabots Spirits,2000,SUMMER,39,63,64,4400,41,Action|Adventure|Mecha|Sci-Fi,VIDEO_GAME,Trans Arts
4067,4067,Shin Megami Tensei: Devil Children,2000,FALL,50,63,69,1215,16,Action|Adventure|Fantasy,VIDEO_GAME,
4962,4962,Mon Colle Knights,2000,WINTER,51,62,64,1701,32,Adventure|Comedy|Fantasy,OTHER,Studio DEEN
5088,5088,Dr. Fabre is a Detective,2000,SPRING,26,65,74,422,4,Mystery,OTHER,
5475,5475,Time Bokan 2000: Kaitou Kiramekiman,2000,SPRING,26,45,48,470,6,Action|Adventure,,Tatsunoko Production
5793,5793,Robo Crosser,,,1,,45,61,0,Sci-Fi,OTHER,Telecom Animation Film
